area_code	areatype_code	area_name
0026900	M	Indianapolis-Carmel, IN	
0026980	M	Iowa City, IA	
0027060	M	Ithaca, NY	
0027100	M	Jackson, MI	
0027140	M	Jackson, MS	
0027180	M	Jackson, TN	
0027260	M	Jacksonville, FL	
0027340	M	Jacksonville, NC	
0027500	M	Janesville, WI	
0027620	M	Jefferson City, MO	
0027740	M	Johnson City, TN	
0027780	M	Johnstown, PA	
0027860	M	Jonesboro, AR	
0027900	M	Joplin, MO	
0028020	M	Kalamazoo-Portage, MI	
0028100	M	Kankakee-Bradley, IL	
0028140	M	Kansas City, MO-KS	
0028420	M	Kennewick-Pasco-Richland, WA	
0028660	M	Killeen-Temple-Fort Hood, TX	
0028700	M	Kingsport-Bristol-Bristol, TN-VA	
0028740	M	Kingston, NY	
0028940	M	Knoxville, TN	
0029020	M	Kokomo, IN	
0029100	M	La Crosse, WI-MN	
0029140	M	Lafayette, IN	
0029180	M	Lafayette, LA	
0029340	M	Lake Charles, LA	
0029404	M	Lake County-Kenosha County, IL-WI Metropolitan Division	
0029420	M	Lake Havasu City - Kingman, AZ	
0029460	M	Lakeland-Winter Haven, FL	
0029540	M	Lancaster, PA	
0029620	M	Lansing-East Lansing, MI	
0029700	M	Laredo, TX	
0029740	M	Las Cruces, NM	
0029820	M	Las Vegas-Paradise, NV	
0029940	M	Lawrence, KS	
0030020	M	Lawton, OK	
0030140	M	Lebanon, PA	
0030300	M	Lewiston, ID-WA	
0030460	M	Lexington-Fayette, KY	
0030620	M	Lima, OH	
0030700	M	Lincoln, NE	
0030780	M	Little Rock-North Little Rock-Conway, AR	
0030860	M	Logan, UT-ID	
0030980	M	Longview, TX	
0031020	M	Longview, WA	
0031084	M	Los Angeles-Long Beach-Glendale, CA  Metropolitan Division	
0031100	M	Los Angeles-Long Beach-Santa Ana, CA	
0031140	M	Louisville-Jefferson County, KY-IN	
0031180	M	Lubbock, TX	
0031340	M	Lynchburg, VA	
0031420	M	Macon, GA	
0031460	M	Madera-Chowchilla, CA	
0031540	M	Madison, WI	
0031740	M	Manhattan, KS	
0031860	M	Mankato-North Mankato, MN	
0031900	M	Mansfield, OH	
0032420	M	Mayaguez, PR	
0032580	M	McAllen-Edinburg-Mission, TX	
0032780	M	Medford, OR	
0032820	M	Memphis, TN-MS-AR	
0032900	M	Merced, CA	
0033100	M	Miami-Fort Lauderdale-Pompano Beach, FL	
0033124	M	Miami-Miami Beach-Kendall, FL Metropolitan Division	
0033140	M	Michigan City-La Porte, IN	
0033260	M	Midland, TX	
0033340	M	Milwaukee-Waukesha-West Allis, WI	
0033460	M	Minneapolis-St. Paul-Bloomington, MN-WI	
0033540	M	Missoula, MT	
0033660	M	Mobile, AL	
0033700	M	Modesto, CA	
0033740	M	Monroe, LA	
0033780	M	Monroe, MI	
0033860	M	Montgomery, AL	
0034060	M	Morgantown, WV	
0034100	M	Morristown, TN	
0034580	M	Mount Vernon-Anacortes, WA	
0034620	M	Muncie, IN	
0034740	M	Muskegon-Norton Shores, MI	
0034820	M	Myrtle Beach-Conway-North Myrtle Beach, SC	
0034900	M	Napa, CA	
0034940	M	Naples-Marco Island, FL	
0034980	M	Nashville-Davidson--Murfreesboro--Franklin, TN	
0035004	M	Nassau-Suffolk, NY Metropolitan Division	
0035084	M	Newark-Union, NJ-PA Metropolitan Division	
0035380	M	New Orleans-Metairie-Kenner, LA	
0035620	M	New York-Northern New Jersey-Long Island, NY-NJ-PA	
0035644	M	New York-White Plains-Wayne, NY-NJ Metropolitan Division	
0035660	M	Niles-Benton Harbor, MI	
0035840	M	North Port-Bradenton-Sarasota, FL	
0036084	M	Oakland-Fremont-Hayward, CA Metropolitan Division	
0036100	M	Ocala, FL	
0036140	M	Ocean City, NJ	
0036220	M	Odessa, TX	
0036260	M	Ogden-Clearfield, UT	
0036420	M	Oklahoma City, OK	
0036500	M	Olympia, WA	
0036540	M	Omaha-Council Bluffs, NE-IA	
0036740	M	Orlando-Kissimmee-Sanford, FL	
0036780	M	Oshkosh-Neenah, WI	
0036980	M	Owensboro, KY	
0037100	M	Oxnard-Thousand Oaks-Ventura, CA	
0037340	M	Palm Bay-Melbourne-Titusville, FL	
0037380	M	Palm Coast, FL	
0037460	M	Panama City-Lynn Haven-Panama City Beach, FL	
0037620	M	Parkersburg-Marietta-Vienna, WV-OH	
0037700	M	Pascagoula, MS	
0037860	M	Pensacola-Ferry Pass-Brent, FL	
0037900	M	Peoria, IL	
0037964	M	Philadelphia, PA Metropolitan Division	
0037980	M	Philadelphia-Camden-Wilmington, PA-NJ-DE-MD	
0038060	M	Phoenix-Mesa-Glendale, AZ	
0038220	M	Pine Bluff, AR	
0038300	M	Pittsburgh, PA	
0038540	M	Pocatello, ID	
0038660	M	Ponce, PR	
0038900	M	Portland-Vancouver-Hillsboro, OR-WA	
0038940	M	Port St. Lucie, FL	
0039100	M	Poughkeepsie-Newburgh-Middletown, NY	
0039140	M	Prescott, AZ	
0039340	M	Provo-Orem, UT	
0039380	M	Pueblo, CO	
0039460	M	Punta Gorda, FL	
0039540	M	Racine, WI	
0039580	M	Raleigh-Cary, NC	
0039660	M	Rapid City, SD	
0039740	M	Reading, PA	
0039820	M	Redding, CA	
0039900	M	Reno-Sparks, NV	
0040060	M	Richmond, VA	
0040140	M	Riverside-San Bernardino-Ontario, CA	
0040220	M	Roanoke, VA	
0040340	M	Rochester, MN	
0040380	M	Rochester, NY	
0040420	M	Rockford, IL	
0040580	M	Rocky Mount, NC	
0040660	M	Rome, GA	
0040900	M	Sacramento--Arden-Arcade--Roseville, CA	
0040980	M	Saginaw-Saginaw Township North, MI	
0041060	M	St. Cloud, MN	
0041100	M	St. George, UT	
0041140	M	St. Joseph, MO-KS	
0041180	M	St. Louis, MO-IL	
0041420	M	Salem, OR	
0041500	M	Salinas, CA	
0041540	M	Salisbury, MD	
0041620	M	Salt Lake City, UT	
0041660	M	San Angelo, TX	
0041700	M	San Antonio-New Braunfels, TX	
0041740	M	San Diego-Carlsbad-San Marcos, CA	
0041780	M	Sandusky, OH	
0041860	M	San Francisco-Oakland-Fremont, CA	
0041884	M	San Francisco-San Mateo-Redwood City, CA Metropolitan Division	
0041900	M	San German-Cabo Rojo, PR	
0041940	M	San Jose-Sunnyvale-Santa Clara, CA	
0041980	M	San Juan-Caguas-Guaynabo, PR	
0042020	M	San Luis Obispo-Paso Robles, CA	
0042044	M	Santa Ana-Anaheim-Irvine, CA Metropolitan Division	
0042060	M	Santa Barbara-Santa Maria-Goleta, CA	
0042100	M	Santa Cruz-Watsonville, CA	
0042140	M	Santa Fe, NM	
0042220	M	Santa Rosa-Petaluma, CA	
0042340	M	Savannah, GA	
0042540	M	Scranton--Wilkes-Barre, PA	
0042644	M	Seattle-Bellevue-Everett, WA Metropolitan Division	
0042660	M	Seattle-Tacoma-Bellevue, WA	
0042680	M	Sebastian-Vero Beach, FL	
0043100	M	Sheboygan, WI	
0043300	M	Sherman-Denison, TX	
0043340	M	Shreveport-Bossier City, LA	
0043580	M	Sioux City, IA-NE-SD	
0043620	M	Sioux Falls, SD	
0043780	M	South Bend-Mishawaka, IN-MI	
0043900	M	Spartanburg, SC	
0044060	M	Spokane, WA	
0044100	M	Springfield, IL	
0044180	M	Springfield, MO	
0044220	M	Springfield, OH	
0044300	M	State College, PA	
0044600	M	Steubenville-Weirton, OH-WV	
0044700	M	Stockton, CA	
0044940	M	Sumter, SC	
0045060	M	Syracuse, NY	
0045104	M	Tacoma, WA Metropolitan Division	
0045220	M	Tallahassee, FL	
0045300	M	Tampa-St. Petersburg-Clearwater, FL	
0045460	M	Terre Haute, IN	
0045500	M	Texarkana-Texarkana, TX-AR	
0045780	M	Toledo, OH	
0045820	M	Topeka, KS	
0045940	M	Trenton-Ewing, NJ	
0046060	M	Tucson, AZ	
0046140	M	Tulsa, OK	
0046220	M	Tuscaloosa, AL	
0046340	M	Tyler, TX	
0046540	M	Utica-Rome, NY	
0046660	M	Valdosta, GA	
0046700	M	Vallejo-Fairfield, CA	
0047020	M	Victoria, TX	
0047220	M	Vineland-Millville-Bridgeton, NJ	
0047260	M	Virginia Beach-Norfolk-Newport News, VA-NC	
0047300	M	Visalia-Porterville, CA	
0047380	M	Waco, TX	
0047580	M	Warner Robins, GA	
0047644	M	Warren-Troy-Farmington Hills, MI Metropolitan Division	
0047894	M	Washington-Arlington-Alexandria, DC-VA-MD-WV Metropolitan Division	
0047900	M	Washington-Arlington-Alexandria, DC-VA-MD-WV	
0047940	M	Waterloo-Cedar Falls, IA	
0048140	M	Wausau, WI	
0048300	M	Wenatchee-East Wenatchee, WA	
0048424	M	West Palm Beach-Boca Raton-Boynton Beach, FL Metropolitan Division	
0048540	M	Wheeling, WV-OH	
0048620	M	Wichita, KS	
0048660	M	Wichita Falls, TX	
0048700	M	Williamsport, PA	
0048864	M	Wilmington, DE-MD-NJ Metropolitan Division	
0048900	M	Wilmington, NC	
0049020	M	Winchester, VA-WV	
0049180	M	Winston-Salem, NC	
0049420	M	Yakima, WA	
0049500	M	Yauco, PR	
0049620	M	York-Hanover, PA	
0049660	M	Youngstown-Warren-Boardman, OH-PA	
0049700	M	Yuba City, CA	
0049740	M	Yuma, AZ	
0070750	M	Bangor, ME	
0070900	M	Barnstable Town, MA	
0071650	M	Boston-Cambridge-Quincy, MA-NH	
0071654	M	Boston-Cambridge-Quincy, MA NECTA Division	
0071950	M	Bridgeport-Stamford-Norwalk, CT	
0072104	M	Brockton-Bridgewater-Easton, MA NECTA Division	
0072400	M	Burlington-South Burlington, VT	
0072850	M	Danbury, CT	
0073104	M	Framingham, MA NECTA Division	
0073450	M	Hartford-West Hartford-East Hartford, CT	
0073604	M	Haverhill-North Andover-Amesbury, MA-NH NECTA Division	
0074204	M	Lawrence-Methuen-Salem, MA-NH NECTA Division	
0074500	M	Leominster-Fitchburg-Gardner, MA	
0074650	M	Lewiston-Auburn, ME	
0074804	M	Lowell-Billerica-Chelmsford, MA-NH NECTA Division	
0074950	M	Manchester, NH	
0075404	M	Nashua, NH-MA NECTA Division	
0075550	M	New Bedford, MA	
0075700	M	New Haven, CT	
0076450	M	Norwich-New London, CT-RI	
0076524	M	Peabody, MA NECTA Division	
0076600	M	Pittsfield, MA	
0076750	M	Portland-South Portland-Biddeford, ME	
0076900	M	Portsmouth, NH-ME	
0077200	M	Providence-Fall River-Warwick, RI-MA	
